UUID,date,Latitude,Longitude,Altitude,Velocity,Dist
Orni17039,2018-08-04,70.69219781250003,151.91249540277784,-8.847222222222221,0.05979938274305555,0.0
Orni17039,2018-10-01,68.4685352857143,151.391314,10.666666666666666,0.02314814816666667,248.0829687313987
Orni17039,2018-10-05,64.45127370588234,150.03317894117646,247.6818181818182,3.9393939394545456,450.72474991359564
Orni17039,2018-10-06,55.41804255555556,141.931739,217.08333333333334,7.326388889208332,1099.1546377954433
Orni17039,2018-10-07,44.06732738461539,132.16691000000003,360.1923076923077,9.679487179999999,1440.9297854260815
Orni17039,2018-10-08,37.78007171428571,126.64397071428573,1.608695652173913,0.31400966186956525,838.6273329738623
Orni17039,2018-10-13,36.691189340740756,126.34951692592597,-0.18055555555555555,0.08101851858333338,123.85227747223588
Orni17039,2019-03-14,41.890874929078024,129.97801972340423,184.9375,7.011959876506939,656.950307298807
Orni17039,2019-03-15,42.78287371739132,130.38955112318845,57.361111111111114,0.40895061736111127,104.79463581313425
Orni17039,2019-03-27,43.96952338931299,131.4267881984733,175.74125874125875,3.6674436674125817,156.32520046911233
Orni17039,2019-03-28,45.25080182978725,132.04588553191493,71.79861111111111,0.8854166667152783,150.6635978080665
Orni17039,2019-03-29,46.280855405797105,132.49909255072473,80.00694444444444,3.5416666667569423,119.80974138774248
Orni17039,2019-04-08,47.37918330215825,132.36979094244612,70.77777777777777,3.0478395061319397,122.52393964104913
Orni17039,2019-04-20,48.15692475362319,133.89961689130442,34.916666666666664,0.8410493828194447,143.35370218324928
Orni17039,2019-05-04,50.331891999999996,137.34471594405596,7.326388888888889,0.18325617291666682,347.8267778418883
Orni17039,2019-05-08,51.76564541666664,139.7874663333334,0.18248175182481752,0.23925385245985412,233.58835665242555
Orni17039,2019-05-11,61.586262999999995,149.176898779661,322.27777777777777,15.800540123465282,1230.6681167920635
Orni17039,2019-05-12,68.10307941666669,152.50075646527765,14.42361111111111,0.9837962962777781,741.2059519637659
Orni17039,2019-05-24,70.6553623357143,151.59548332142867,-2.111111111111111,1.5856481481805558,285.99844222949764
Orni17039,2019-09-23,68.11549868181818,151.39884527272727,21.242424242424242,0.6228956230303032,282.52447253711335
Orni17039,2019-09-29,66.24494973239435,150.62291429577468,132.69444444444446,4.861111111416666,210.6657669310878
Orni17039,2019-09-30,56.77987491666667,144.35729258333328,280.45054945054943,11.651404151131866,1102.3694213033355
Orni17039,2019-10-01,52.97690140145982,140.40520941605834,56.01449275362319,3.220611916297099,492.50044985213293
Orni17039,2019-10-02,50.47044009565218,137.18751513043483,141.109243697479,8.445378151512601,356.01358805749004
Orni17039,2019-10-03,45.565948375,132.71254134722219,106.61111111111111,3.7731481482361082,638.6261581004337
Orni17039,2019-11-06,44.079652888059705,131.65152442537308,114.88652482269504,4.767533490780138,185.24221887962204
Orni17039,2019-11-07,42.641539126760584,130.5517034366197,3.0,0.27970679017361133,182.96324326168005
Orni17039-1,2018-08-04,70.69145114345204,151.9121319784566,-8.847222222222221,16.34452160484029,3338.335566202844
Orni17039-1,2018-10-01,68.4677886166663,151.3909505756789,10.666666666666666,16.50462962925,248.0830264315588
Orni17039-1,2018-10-05,64.45052703683434,150.03281551685538,247.6818181818182,16.28787878904545,450.72499154902516
Orni17039-1,2018-10-06,55.41729588650757,141.93137557567889,217.08333333333334,17.175925925875,1099.1588232965198
Orni17039-1,2018-10-07,44.06658071556739,132.1665465756789,360.1923076923077,19.230769231115385,1440.9350760973364
Orni17039-1,2018-10-08,37.77932504523773,126.64360728996462,1.608695652173913,16.280193236695652,838.6302398241329
Orni17039-1,2018-10-13,36.69044267169275,126.3491535016048,-0.18055555555555555,15.190972222041662,123.85233181610698
Orni17039-1,2019-03-14,41.89012826003002,129.9776562990831,184.9375,15.684799382569436,656.9518922275984
Orni17039-1,2019-03-15,42.78212704834331,130.3891876988672,57.361111111111114,16.091820987354176,104.79476545642538
Orni17039-1,2019-03-27,43.96877672026496,131.4264247741521,175.74125874125875,16.301476301405593,156.3257540806672
Orni17039-1,2019-03-28,45.25005516073922,132.04552210759374,71.79861111111111,17.976466049548605,150.66380275936288
